iter	Passed	Remaining
399	72266	18066
400	72520	17904
401	72691	17720
402	72861	17537
403	73033	17354
404	73203	17171
405	73378	16989
406	73546	16805
407	73716	16622
408	73916	16446
409	74126	16271
410	74319	16093
411	74492	15911
412	74663	15728
413	74839	15546
414	75044	15370
415	75212	15187
416	75386	15004
417	75556	14822
418	75725	14639
419	75895	14456
420	76082	14276
421	76255	14094
422	76431	13913
423	76601	13730
424	76770	13547
425	76937	13364
426	77105	13181
427	77274	12999
428	77449	12817
429	77647	12640
430	77817	12458
431	77987	12275
432	78190	12098
433	78373	11918
434	78543	11736
435	78712	11554
436	78880	11371
437	79050	11189
438	79219	11007
439	79443	10833
440	79630	10653
441	79839	10476
442	80058	10300
443	80241	10120
444	80426	9940
445	80600	9758
446	80798	9580
447	81037	9406
448	81208	9224
449	81380	9042
450	81558	8861
451	81731	8679
452	81904	8497
453	82071	8315
454	82244	8134
455	82445	7955
456	82640	7775
457	82812	7594
458	82981	7412
459	83151	7230
460	83320	7048
461	83495	6867
462	83666	6686
463	83836	6504
464	84009	6323
465	84181	6142
466	84356	5960
467	84552	5781
468	84723	5600
469	84923	5420
470	85135	5241
471	85352	5063
472	85529	4882
473	85703	4701
474	85873	4519
475	86043	4338
476	86212	4156
477	86384	3975
478	86580	3795
479	86750	3614
480	86920	3433
481	87089	3252
482	87258	3071
483	87429	2890
484	87604	2709
485	87841	2530
486	88009	2349
487	88189	2168
488	88361	1987
489	88553	1807
490	88724	1626
491	88891	1445
492	89060	1264
493	89229	1083
494	89409	903
495	89584	722
496	89756	541
497	89926	361
498	90095	180
499	90309	0
