iter	MultiClass
352	1.318369056
353	1.314489104
354	1.312603903
355	1.310697497
356	1.305806187
357	1.303536225
358	1.300282448
359	1.297207641
360	1.293582094
361	1.290199943
362	1.286474399
363	1.283561982
364	1.280835207
365	1.278187534
366	1.274576435
367	1.270123534
368	1.268376044
369	1.264205439
370	1.26054746
371	1.257580243
372	1.25477888
373	1.251614729
374	1.250251059
375	1.248000648
376	1.246954112
377	1.244849598
378	1.240951389
379	1.237898707
380	1.234964045
381	1.231076587
382	1.22884918
383	1.22731143
384	1.22568394
385	1.222567421
386	1.220006846
387	1.216594805
388	1.214443595
389	1.210929856
390	1.20875596
391	1.207194008
392	1.203944611
393	1.202061124
394	1.199528868
395	1.19747916
396	1.193775153
397	1.190692474
398	1.188874446
399	1.186142226
400	1.183089255
401	1.18046874
402	1.176855922
403	1.174751885
404	1.171870325
405	1.168016854
406	1.164848645
407	1.161408954
408	1.157743414
409	1.156297151
410	1.153435052
411	1.150676961
412	1.145578315
413	1.143573972
414	1.141223118
415	1.13911992
416	1.135958574
417	1.133286187
418	1.131189718
419	1.128982868
420	1.126899048
421	1.124122358
422	1.122911751
423	1.118989826
424	1.116084101
425	1.113295185
426	1.111852206
427	1.109299386
428	1.105711537
429	1.102899053
430	1.100719705
431	1.096972294
432	1.095816222
433	1.093813466
434	1.091439091
435	1.089495833
436	1.086516051
437	1.083096972
438	1.081517998
439	1.078074967
440	1.075020552
441	1.07293038
442	1.07021689
443	1.066584033
444	1.066051185
445	1.064364895
446	1.062278251
447	1.05935178
448	1.056552212
449	1.054970858
450	1.053323965
451	1.052236356
452	1.049917362
453	1.047282298
454	1.044664276
455	1.042518176
456	1.040517232
457	1.037233463
458	1.035743591
459	1.032759881
460	1.030781139
461	1.028358263
462	1.026437402
463	1.02526453
464	1.022814631
465	1.019493398
466	1.016760656
467	1.012528255
468	1.009457339
469	1.007442533
470	1.006123962
471	1.003968173
472	1.001393879
473	0.9981934946
474	0.9954405198
475	0.9925046089
476	0.9895916493
477	0.9876302645
478	0.9836367318
479	0.9815921235
480	0.9801928823
481	0.9780368729
482	0.9749861731
483	0.972601123
484	0.9700183414
485	0.9692393118
486	0.9653108844
487	0.9640028603
488	0.9622850711
489	0.960710579
490	0.9579602571
491	0.9558892852
492	0.9538056078
493	0.9499351279
494	0.9494846402
495	0.9442405798
496	0.9431917344
497	0.9422556421
498	0.9402600625
499	0.9388546249
500	0.9371692251
501	0.9346898851
502	0.931840918
503	0.9296514865
504	0.9286324946
505	0.9268272633
506	0.9254111798
507	0.9234157179
508	0.9212377787
509	0.9188486344
510	0.9175738847
511	0.914698139
512	0.9124475029
513	0.9113612955
514	0.9100138083
515	0.9086428991
516	0.9074772692
517	0.9052148692
518	0.9025855815
519	0.9004675313
520	0.8991886293
521	0.8965044171
522	0.8949350709
523	0.8925829564
524	0.8913628571
525	0.8891547684
526	0.8870071544
527	0.8852023573
528	0.8831941782
529	0.8802627249
530	0.8785503468
531	0.8764318213
532	0.8743099688
533	0.8732864933
534	0.871887857
535	0.8709971586
536	0.8701860358
537	0.8676116192
538	0.8663940384
539	0.8644271506
540	0.8627045109
541	0.8607142213
542	0.8586512056
543	0.8554859726
544	0.8538697142
545	0.8530336037
546	0.8511412367
547	0.850042245
548	0.8489074012
549	0.8465716984
550	0.8439557487
551	0.8417050813
552	0.8400866717
553	0.8383740599
554	0.8373690225
555	0.8360582962
556	0.834659659
557	0.8323525899
558	0.829835811
559	0.8273642044
560	0.826716228
561	0.8239503354
562	0.8217637728
563	0.8203356896
564	0.81846182
565	0.8165049642
566	0.8144013904
567	0.8123254822
568	0.8111193048
569	0.8083708308
570	0.8060837008
571	0.8049103643
572	0.8033256369
573	0.8014087914
574	0.7998647798
575	0.7978257139
576	0.7962650973
577	0.7949159779
578	0.7935776877
579	0.7911565322
580	0.789169516
581	0.7867663104
582	0.7842652116
583	0.7810919019
584	0.7789582462
585	0.776669213
586	0.7757632319
587	0.7745146538
588	0.7724108899
589	0.7717863931
590	0.7703944974
591	0.7689604238
592	0.7668741456
593	0.7660963834
594	0.7642985462
595	0.7624847678
596	0.7609658067
597	0.7594823522
598	0.7570485802
599	0.7542316762
600	0.7525547283
601	0.7508035423
602	0.7490474497
603	0.7472841368
604	0.7438581037
605	0.7410219009
606	0.7383940399
607	0.7365119663
608	0.7350989717
609	0.7340574875
610	0.7321616134
611	0.7303318621
612	0.728214187
613	0.7268473291
614	0.7247846086
615	0.7234355128
616	0.7226286625
617	0.7207393201
618	0.7185634083
619	0.7163513593
620	0.7149517932
621	0.7127252095
622	0.7109808645
623	0.7098186299
624	0.7086563781
625	0.7074268718
626	0.705846409
627	0.7051548327
628	0.7029060994
629	0.7010669181
630	0.6991091239
631	0.6978183795
632	0.6961096381
633	0.6947545403
634	0.6931813992
635	0.6926637746
636	0.6911367028
637	0.689946179
638	0.6888716593
639	0.6874039539
640	0.6858139973
641	0.6841229786
642	0.6827986691
643	0.681058387
644	0.6791073906
645	0.6770612474
646	0.6760249016
647	0.6743152424
648	0.6731773854
649	0.671718775
650	0.6705552505
651	0.6691214075
652	0.6675688448
653	0.6657846974
654	0.6642499557
655	0.6629482711
656	0.6614228041
657	0.6602940208
658	0.658828523
659	0.6573731874
660	0.6563638619
661	0.6558268041
662	0.6542860635
663	0.6536219463
664	0.6529112289
665	0.651825346
666	0.6501102515
667	0.6478590558
668	0.6467137265
669	0.6453982769
670	0.6442339558
671	0.6432092304
672	0.6419666291
673	0.6402185411
674	0.6392443015
675	0.6375380613
676	0.6359756324
677	0.6345837677
678	0.6341301075
679	0.6327464458
680	0.6313735483
681	0.6297133146
682	0.628218589
683	0.6269684832
684	0.625356763
685	0.624280916
686	0.6228006574
687	0.6212024775
688	0.6202460792
689	0.6190774017
690	0.6179697772
691	0.616608809
692	0.6154999843
693	0.6145338355
694	0.6128025915
695	0.6115956668
696	0.6104290872
697	0.6087343621
698	0.6074345905
699	0.6058166439
700	0.6046259509
701	0.6032891996
702	0.60153464
703	0.6007381302
704	0.5991859362
705	0.5982576972
706	0.5965072962
707	0.5951205735
708	0.5941139356
709	0.5931443521
710	0.5926799451
711	0.592006639
712	0.590800599
713	0.5893888445
714	0.5883597606
715	0.587430141
716	0.5862563189
717	0.5847854841
718	0.5839311945
719	0.5821046625
720	0.5809289931
721	0.5797552156
722	0.5785949304
723	0.5764420079
724	0.5746463814
725	0.5736915066
726	0.5727180022
727	0.5712018916
728	0.569446527
729	0.5683548127
730	0.5677461441
731	0.5668380902
732	0.5659324135
733	0.5643909209
734	0.5636298281
735	0.5625636257
736	0.5612538413
737	0.5603103154
738	0.5590411069
739	0.5572174616
740	0.555932642
741	0.5540386363
742	0.5533748605
743	0.5523253812
744	0.5513746938
745	0.5501145589
746	0.5492115475
747	0.5480571056
748	0.5470998947
749	0.5455144122
750	0.5449857
751	0.5440064645
752	0.5431185305
753	0.5419610241
754	0.5404821861
755	0.5396166967
756	0.5385060286
757	0.5374753056
758	0.536434831
759	0.5351899553
760	0.5341436742
761	0.5331258935
762	0.5317077751
763	0.5307747882
764	0.5295559244
765	0.5288313241
766	0.5279780423
767	0.5266082164
768	0.5253908681
769	0.5245922316
770	0.5230114884
771	0.5223893281
772	0.5214602625
773	0.5207420913
774	0.5198420574
775	0.5186636182
776	0.5176727763
777	0.516633434
778	0.5154102769
779	0.5138467449
780	0.5124273961
781	0.5113700088
782	0.5103753071
783	0.5099160067
784	0.5089758398
785	0.5080216659
786	0.5070677952
787	0.5063863831
788	0.505113301
789	0.5043608038
790	0.503527231
791	0.5026513516
792	0.501367241
793	0.5002966208
794	0.4994881196
795	0.4987559033
796	0.4975400834
797	0.4956497004
798	0.4943462526
799	0.4932628206
800	0.49246775
801	0.4912984728
802	0.489969538
803	0.4885280897
804	0.487692254
805	0.4867656619
806	0.486242847
807	0.4858731051
808	0.4847343558
809	0.4836470743
810	0.482484172
811	0.4815194315
812	0.4806206231
813	0.4796622208
814	0.479073888
815	0.4779569653
816	0.4765231255
817	0.4760545793
818	0.4746963426
819	0.4737761401
820	0.4729731652
821	0.4718369709
822	0.4709520442
823	0.4707160671
824	0.4696071223
825	0.468339956
826	0.4674512595
827	0.4664505209
828	0.4655185417
829	0.4649732334
830	0.4641267885
831	0.4631440113
832	0.462288045
833	0.4613890923
834	0.4605251448
835	0.4593395695
836	0.4589277511
837	0.4581480472
838	0.4572956498
839	0.4564881515
840	0.4556536971
841	0.4548430592
842	0.4543182308
843	0.4538216257
844	0.4530266148
845	0.4516533578
846	0.4504153337
847	0.4500740818
848	0.4492737131
849	0.4482660086
850	0.44721684
851	0.4463587426
852	0.445606147
853	0.4444543707
854	0.4436481254
855	0.442192094
856	0.4415408246
857	0.4403631232
858	0.4399569099
859	0.4393946334
860	0.438719459
861	0.4379734608
862	0.4370940491
863	0.436705186
864	0.4361677626
865	0.4349506177
866	0.4338144327
867	0.4335243446
868	0.4325415602
869	0.431607491
870	0.4306117036
871	0.4295199604
872	0.4285610731
873	0.4278932434
874	0.4272422077
875	0.4265293089
876	0.4258310161
877	0.4251458626
878	0.4245815465
879	0.4235774895
880	0.4227619571
881	0.4223008408
882	0.4216460544
883	0.420418773
884	0.4193540304
885	0.4186708961
886	0.417750878
887	0.4168072188
888	0.4157769794
889	0.4149097347
890	0.414537198
891	0.4141561481
892	0.4136194234
893	0.4128214024
894	0.411886174
895	0.4111515567
896	0.4101367691
897	0.4098863037
898	0.4086739068
899	0.4078028232
900	0.4069422089
901	0.4059689364
902	0.4049296921
903	0.40424367
904	0.403346234
905	0.4023215712
906	0.4017340605
907	0.4010243172
908	0.4004061599
909	0.3994077609
910	0.3989717164
911	0.3981223878
912	0.3972409432
913	0.3962703223
914	0.3956183718
915	0.3950592937
916	0.3943197736
917	0.3932999641
918	0.392332293
919	0.3917479676
920	0.3911519669
921	0.3901844817
922	0.3892238151
923	0.3886832453
924	0.388344651
925	0.3877588632
926	0.3871347189
927	0.3863404376
928	0.385629993
929	0.3850645676
930	0.3848731771
931	0.3843031129
932	0.3833365108
933	0.3827699348
934	0.3821111344
935	0.3816894389
936	0.3803884676
937	0.3800616102
938	0.3795157489
939	0.3788610594
940	0.3777108997
941	0.3772179446
942	0.3767372895
943	0.3762939955
944	0.3755182768
945	0.3748229194
946	0.3739761552
947	0.3730937295
948	0.3724712079
949	0.3717597245
950	0.3710661224
951	0.370076077
952	0.3697676815
953	0.36932374
954	0.3688631733
955	0.3682168767
956	0.3673793867
957	0.3669915838
958	0.3665310185
959	0.3657678197
960	0.3648220575
961	0.3638536289
962	0.3631680089
963	0.3625298818
964	0.3618033841
965	0.3612108359
966	0.3607421237
967	0.3600781829
968	0.3591287004
969	0.358790506
970	0.358161829
971	0.3576706249
972	0.3570110228
973	0.3561880328
974	0.355635649
975	0.3547862736
976	0.3542510101
977	0.3539070132
978	0.3528537681
979	0.3523053152
980	0.3515698063
981	0.3504848527
982	0.3496110942
983	0.3489281077
984	0.3482829158
985	0.3474312068
986	0.3462013037
987	0.3457578058
988	0.3452011509
989	0.3446381461
990	0.3438883118
991	0.3434273139
992	0.3427787092
993	0.3421888845
994	0.3419211577
995	0.3412764158
996	0.3408993313
997	0.3404129016
998	0.3397840154
999	0.3390506922
